Title,Description,Status,Category,Location,ID
Facit skrivmaskin,Bra skick. Bläck något tort men skriver. Alla funktioner verkar funka. Kommer i fin väska,Tested,Gerät,A01,2026_00045
Dressler ara2000,"Antenn.
50-2000 MHz  
18-22 dB (NF: 2-3.5 dB)
Aditya medföljer ej
RX only!",Tested,Radio,A01,2026_00046
Dressler ara 2000 antenn,50-2000MHz. 18-22 dB (NF: 2-3.5 dB)  Rx only!,Tested,Radio,A01,2026_00047
macbook pro,Mid 2012 unibody? Laddare ingår,Untested,Computer,C01,2026_00048
Anderson car amplifier,"4x50W RMS
4x130W Max out
4ohm",Untested,Audio,C01,2026_00049
Michael Riedel Transformatorenbau,"Trafo, 3x500 Vac in, 24V 50A DV ut ",Untested,Power supply,C01,2026_00050
"Timer/counter 120 MHz, Philips PM 6670",,Tested,Instrument,B01,2026_00051
Power walker,"Egentligen UPS 
8 portar för 250v 10A. Vaknar inte när man ger den ström och försöker slå igång",Doesn't work,Power supply,C01,2026_00052
Casio Tonebank CT-636,Cool synth. Verkar ha kontakt för circuit bending?,Tested,Audio,C01,2026_00053
Temperature selector,30 relays in one box ,Untested,Gerät,C01,2026_00054
UPS,Uknown specs,Untested,Gerät,C01,2026_00055
Melissa space heater,"Gives hear when powered , seems fully functioning
220V 2000W
",Tested,Miscellaneous,C01,2026_00056
Kenwood 40MHz Oscilliscope,"Ingen chassi, saknar några rattar men går ändå att skruva på. Vissa spänningssteg är trasiga.",Tested,Instrument,B01,2026_00057
Eaton UPS,5P1550i,Untested,Power supply,C01,2026_00058
Daylight lightboard,Can be used to sketch on,Tested,Miscellaneous,C01,2026_00059
"Timer/counter 120 MHz, Philips PM 6671",,Lights up,Instrument,C01,2026_00060
Gaskromatografikolonn,"50 Hz
Säkring 2A
Kan kopplas ihop med andra gaskromatografimaskiner",Lights up,Gerät,B01,2026_00061
GPS performance meter,,Oöppnad,Gerät,C01,2026_00062
